counties,autos,motorcycles,trailers,trucks,total vehicles
alameda,1038025,26917,51654,165092,1281688
alpine,1192,69,413,640,2314
amador,31068,2357,11761,16346,61532
butte,116297,6764,44244,50372,217677
calaveras,38707,3191,16935,21770,80603
colusa,13639,548,8491,8037,30715
contra costa,810019,24592,57018,152222,1043851
del norte,14310,852,5443,7133,27738
el dorado,137481,8725,40949,50079,237234
fresno,563083,17373,108210,196211,884877
glenn,17072,846,10209,10150,38277
humboldt,77519,4220,26031,37333,145103
imperial,137958,3311,28764,51377,221410
inyo,14453,981,5572,8255,29261
kern,470047,16960,112118,189126,788251
kings,73691,2630,16092,27873,120286
lake,48155,2938,16135,22573,89801
lassen,15022,934,9494,9764,35214
los angeles,6235778,139137,275816,1087462,7738193
madera,89346,3785,29101,37528,159760
marin,189072,6180,10219,31860,237331
mariposa,13067,1063,6035,8036,28201
mendocino,57540,3272,20294,31701,112807
merced,158619,4894,33445,58835,255793
modoc,5087,230,4221,4263,13801
mono,8759,645,3299,4566,17269
monterey,276409,7845,39860,86018,410132
napa,94239,3706,15846,30068,143859
nevada,69875,5176,25613,28797,129461
orange,2363684,55570,119777,413583,2952614
placer,309200,13624,55101,86447,464372
plumas,13818,997,8423,9387,32625
riverside,1548566,48503,187042,418286,2202397
sacramento,993295,30663,107821,222581,1354360
san benito,45374,2530,9405,17374,74683
san bernardino,1362756,41840,187567,376489,1968652
san diego,2253084,82352,186310,483609,3005355
san francisco,386865,16060,6677,42924,452526
san joaquin,481070,15557,96074,144167,736868
san luis obispo,190185,10388,48177,66940,315690
san mateo,579535,14969,18798,80834,694136
santa barbara,279865,11566,34391,83971,409793
santa clara,1349372,33361,58288,189568,1630589
santa cruz,172771,9762,20656,51398,254587
shasta,107069,7271,50707,49754,214801
sierra,2542,218,1295,1759,5814
siskiyou,28746,1911,15130,18025,63812
solano,296957,12275,39704,73865,422801
sonoma,342494,15739,59139,116023,533395
stanislaus,326065,12043,71936,115350,525394
sutter,58030,2346,22382,235803,318561
tehama,34177,1951,20218,19194,75540
trinity,7685,567,4734,5349,18335
tulare,254128,8346,64383,105715,432572
tuolumne,40141,2912,14883,21771,79707
ventura,598291,22745,51641,145277,817954
yolo,124480,4002,28405,43674,200561
yuba,45961,2540,13660,17443,79604
out of state,110570,5224,68935,36025,220754
statewide,25782147,801065,2784882,6461647,35983261
