Counties,YEAR,Autos,Motorcycles,Total Vehicles,Trailers,Trucks
ALAMEDA,2009,937076,31049,1229213,72373,188715
ALPINE,2009,990,60,1942,395,497
AMADOR,2009,26541,2042,53601,10331,14687
BUTTE,2009,120366,6861,225468,44657,53584
CALAVERAS,2009,34045,2656,71253,15284,19268
COLUSA,2009,11459,444,27560,7833,7824
CONTRA COSTA,2009,673918,25323,917194,70316,147637
DEL NORTE,2009,14265,810,27375,5463,6837
EL DORADO,2009,121768,8158,218790,41555,47309
FRESNO,2009,433851,19566,716536,91522,171597
GLENN,2009,14985,811,34681,8926,9959
HUMBOLDT,2009,76243,4842,147062,25834,40143
IMPERIAL,2009,90287,2053,151469,20479,38650
INYO,2009,13128,918,27289,5484,7759
KERN,2009,375115,18319,678189,101712,183043
KINGS,2009,59804,2986,104064,14620,26654
LAKE,2009,43350,2960,84941,16963,21668
LASSEN,2009,16014,1086,37478,10130,10248
LOS ANGELES,2009,5785091,146822,7401550,341142,1128495
MADERA,2009,67250,3839,128601,24024,33488
MARIN,2009,186199,7394,240466,14171,32702
MARIPOSA,2009,13264,983,28221,5992,7982
MENDOCINO,2009,55635,3885,111555,20184,31851
MERCED,2009,116611,4931,202338,28977,51819
MODOC,2009,5161,228,13658,3937,4332
MONO,2009,8387,639,16900,3515,4359
MONTEREY,2009,229382,8379,349222,34698,76763
NAPA,2009,86430,3902,138392,17052,31008
NEVADA,2009,68456,5314,128434,24926,29738
ORANGE,2009,1923926,58482,2509262,123352,403502
PLACER,2009,237999,12816,375632,48842,75975
PLUMAS,2009,15274,1019,34708,9079,9336
RIVERSIDE,2009,1114406,42528,1689593,166449,366210
SACRAMENTO,2009,800516,33151,1159910,112986,213257
SAN BENITO,2009,30695,2028,54690,7897,14070
SAN BERNARDINO,2009,1055162,43037,1632436,178988,355249
SAN DIEGO,2009,1911703,73741,2653730,184391,483895
SAN FRANCISCO,2009,381737,20339,470481,8654,59751
SAN JOAQUIN,2009,351524,14524,571504,81109,124347
SAN LUIS OBISPO,2009,166484,10973,285495,43118,64920
SAN MATEO,2009,552980,16332,683565,22773,91480
SANTA BARBARA,2009,245447,12135,367898,32472,77844
SANTA CLARA,2009,1196538,37709,1507729,68645,204837
SANTA CRUZ,2009,161058,9724,241722,19968,50972
SHASTA,2009,105883,8362,218584,50541,53798
SIERRA,2009,2455,165,5357,1193,1544
SISKIYOU,2009,30285,1904,66295,15365,18741
SOLANO,2009,250142,12279,371534,36638,72475
SONOMA,2009,306307,17078,487042,54414,109243
STANISLAUS,2009,261505,12234,444894,64070,107085
SUTTER,2009,50250,2340,93419,18105,22724
TEHAMA,2009,31004,1820,68428,17035,18569
TRINITY,2009,8759,701,20713,5247,6006
TULARE,2009,193640,8700,346946,50704,93902
TUOLUMNE,2009,37494,3013,74792,14229,20056
VENTURA,2009,528666,23992,751074,55348,143068
YOLO,2009,103415,4273,170637,25044,37905
YUBA,2009,35749,2107,67005,12761,16388
OUT OF STATE,2009,122212,4363,286614,117300,42739
MISC VEHICLES *,2009,,,17939,,
FEE EXEMPT VEHICLES,2009,199686,16935,556328,65656,274051
STATEWIDE,2009,22097972,826064,31799398,2794868,6062555
IRP VEHICLES **,2009,,,1644117,,
